[?1034hType                                  Module                      Label             Process   
MuonDigiCollection<CSCDetId,CSCCLCTDigi>    "hltMuonCSCDigis"           "MuonCSCCLCTDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCComparatorDigi>    "hltMuonCSCDigis"           "MuonCSCComparatorDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCComparatorDigi>    "simMuonCSCDigis"           "MuonCSCComparatorDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "csctfDigis"                ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   "MPCSORTED"       "HLT"     
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "hltMuonCSCDigis"           "MuonCSCCorrelatedLCTDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCDCCFormatStatusDigi>    "hltMuonCSCDigis"           "MuonCSCDCCFormatStatusDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCRPCDigi>    "hltMuonCSCDigis"           "MuonCSCRPCDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCStripDigi>    "hltMuonCSCDigis"           "MuonCSCStripDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCStripDigi>    "simMuonCSCDigis"           "MuonCSCStripDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCWireDigi>    "hltMuonCSCDigis"           "MuonCSCWireDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCWireDigi>    "simMuonCSCDigis"           "MuonCSCWireDigi"   "HLT"     
MuonDigiCollection<CSCDetId,int>      "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<DTChamberId,DTLocalTrigger>    "hltMuonDTDigis"            ""                "HLT"     
MuonDigiCollection<DTLayerId,DTDigi>    "hltMuonDTDigis"            ""                "HLT"     
MuonDigiCollection<DTLayerId,DTDigi>    "simMuonDTDigis"            ""                "HLT"     
MuonDigiCollection<DTLayerId,DTDigiSimLink>    "simMuonDTDigis"            ""                "HLT"     
MuonDigiCollection<RPCDetId,RPCDigi>    "hltMuonRPCDigis"           ""                "HLT"     
MuonDigiCollection<RPCDetId,RPCDigi>    "simMuonRPCDigis"           ""                "HLT"     
RPCRawDataCounts                      "hltMuonRPCDigis"           ""                "HLT"     
double                                "ak4GenJets"                "rho"             "HLT"     
double                                "ak8GenJets"                "rho"             "HLT"     
double                                "hltAK4CaloJets"            "rho"             "HLT"     
double                                "hltAK4PFJets"              "rho"             "HLT"     
double                                "ak4GenJets"                "sigma"           "HLT"     
double                                "ak8GenJets"                "sigma"           "HLT"     
double                                "hltAK4CaloJets"            "sigma"           "HLT"     
double                                "hltAK4PFJets"              "sigma"           "HLT"     
edm::AssociationMap<edm::OneToMany<vector<L2MuonTrajectorySeed>,vector<L2MuonTrajectorySeed>,unsigned int> >    "hltL2Muons"                ""                "HLT"     
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "hltL2Muons"                ""                "HLT"     
edm::ConditionsInEventBlock           "conditionsInEdm"           ""                "HLT"     
edm::DetSetVector<PixelDigi>          "simSiPixelDigis"           ""                "HLT"     
edm::DetSetVector<PixelDigiSimLink>    "simSiPixelDigis"           ""                "HLT"     
edm::DetSetVector<RPCDigiSimLink>     "simMuonRPCDigis"           "RPCDigiSimLink"   "HLT"     
edm::DetSetVector<SiStripDigi>        "simSiStripDigis"           "ZeroSuppressed"   "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "ProcessedRaw"    "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "ScopeMode"       "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "VirginRaw"       "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simSiStripDigis"           ""                "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCStripDigiSimLinks"   "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCWireDigiSimLinks"   "HLT"     
edm::EDCollection<DetId>              "siPixelDigis"              ""                "HLT"     
edm::EDCollection<DetId>              "siStripDigis"              ""                "HLT"     
edm::EDCollection<DetId>              "siPixelDigis"              "UserErrorModules"   "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter0PFlowTrackSelectionHighPurity"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter1Merged"            ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter1PFlowTrackSelectionHighPurity"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2Merged"            ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2PFlowTrackSelectionHighPurity"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL2Muons"                ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsIOHit"           ""                "HLT"     
