[?1034hType                                  Module                      Label             Process   
vector<reco::GenMET>                  "genMetTrue"                ""                "HLT"     
vector<reco::GenParticle>             "genParticles"              ""                "HLT"     
vector<reco::MuonTrackLinks>          "hltL3MuonsIOHit"           ""                "HLT"     
vector<reco::MuonTrackLinks>          "hltL3MuonsLinksCombination"   ""                "HLT"     
vector<reco::MuonTrackLinks>          "hltL3MuonsOIHit"           ""                "HLT"     
vector<reco::MuonTrackLinks>          "hltL3MuonsOIState"         ""                "HLT"     
vector<reco::PFCandidate>             "hltParticleFlow"           ""                "HLT"     
vector<reco::PFCandidate>             "hltParticleFlow"           "AddedMuonsAndHadrons"   "HLT"     
vector<reco::PFCandidate>             "hltParticleFlow"           "CleanedCosmicsMuons"   "HLT"     
vector<reco::PFCandidate>             "hltParticleFlow"           "CleanedFakeMuons"   "HLT"     
vector<reco::PFCandidate>             "hltParticleFlow"           "CleanedHF"       "HLT"     
vector<reco::PFCandidate>             "hltParticleFlow"           "CleanedPunchThroughMuons"   "HLT"     
vector<reco::PFCandidate>             "hltParticleFlow"           "CleanedPunchThroughNeutralHadrons"   "HLT"     
vector<reco::PFCandidate>             "hltParticleFlow"           "CleanedTrackerAndGlobalMuons"   "HLT"     
vector<reco::PFJet>                   "hltAK4PFJets"              ""                "HLT"     
vector<reco::PFJet>                   "hltAK4PFJetsCorrected"     ""                "HLT"     
vector<reco::PFJet>                   "hltPFJetsCorrectedMatchedToCaloJets210"   ""                "HLT"     
vector<reco::RecoChargedCandidate>    "hltL2MuonCandidates"       ""                "HLT"     
vector<reco::RecoChargedCandidate>    "hltL3MuonCandidates"       ""                "HLT"     
vector<reco::RecoEcalCandidate>       "hltEgammaCandidates"       ""                "HLT"     
vector<reco::SuperCluster>            "hltParticleFlowSuperClusterECALL1Seeded"   "hltParticleFlowSuperClusterECALBarrel"   "HLT"     
vector<reco::SuperCluster>            "hltParticleFlowSuperClusterECALL1Seeded"   "hltParticleFlowSuperClusterECALEndcapWithPreshower"   "HLT"     
vector<reco::Track>                   "hltIter0PFlowTrackSelectionHighPurity"   ""                "HLT"     
vector<reco::Track>                   "hltIter1Merged"            ""                "HLT"     
vector<reco::Track>                   "hltIter1PFlowTrackSelectionHighPurity"   ""                "HLT"     
vector<reco::Track>                   "hltIter2Merged"            ""                "HLT"     
vector<reco::Track>                   "hltIter2PFlowTrackSelectionHighPurity"   ""                "HLT"     
vector<reco::Track>                   "hltL2Muons"                ""                "HLT"     
vector<reco::Track>                   "hltL3Muons"                ""                "HLT"     
vector<reco::Track>                   "hltL3MuonsIOHit"           ""                "HLT"     
vector<reco::Track>                   "hltL3MuonsOIHit"           ""                "HLT"     
vector<reco::Track>                   "hltL3MuonsOIState"         ""                "HLT"     
vector<reco::Track>                   "hltL3TkFromL2OICombination"   ""                "HLT"     
vector<reco::Track>                   "hltL3TkTracksFromL2"       ""                "HLT"     
vector<reco::Track>                   "hltL3TkTracksFromL2IOHit"   ""                "HLT"     
vector<reco::Track>                   "hltL3TkTracksFromL2OIHit"   ""                "HLT"     
vector<reco::Track>                   "hltL3TkTracksFromL2OIState"   ""                "HLT"     
vector<reco::Track>                   "hltPixelTracks"            ""                "HLT"     
vector<reco::Track>                   "hltL3MuonsIOHit"           "L2Seeded"        "HLT"     
vector<reco::Track>                   "hltL3MuonsOIHit"           "L2Seeded"        "HLT"     
vector<reco::Track>                   "hltL3MuonsOIState"         "L2Seeded"        "HLT"     
vector<reco::Track>                   "hltL2Muons"                "UpdatedAtVtx"    "HLT"     
vector<reco::TrackExtra>              "hltIter0PFlowTrackSelectionHighPurity"   ""                "HLT"     
vector<reco::TrackExtra>              "hltIter1Merged"            ""                "HLT"     
vector<reco::TrackExtra>              "hltIter1PFlowTrackSelectionHighPurity"   ""                "HLT"     
vector<reco::TrackExtra>              "hltIter2Merged"            ""                "HLT"     
vector<reco::TrackExtra>              "hltIter2PFlowTrackSelectionHighPurity"   ""                "HLT"     
vector<reco::TrackExtra>              "hltL2Muons"                ""                "HLT"     
vector<reco::TrackExtra>              "hltL3MuonsIOHit"           ""                "HLT"     
vector<reco::TrackExtra>              "hltL3MuonsOIHit"           ""                "HLT"     
vector<reco::TrackExtra>              "hltL3MuonsOIState"         ""                "HLT"     
vector<reco::TrackExtra>              "hltL3TkTracksFromL2"       ""                "HLT"     
vector<reco::TrackExtra>              "hltL3TkTracksFromL2IOHit"   ""                "HLT"     
vector<reco::TrackExtra>              "hltL3TkTracksFromL2OIHit"   ""                "HLT"     
vector<reco::TrackExtra>              "hltL3TkTracksFromL2OIState"   ""                "HLT"     
vector<reco::TrackExtra>              "hltPixelTracks"            ""                "HLT"     
vector<reco::TrackExtra>              "hltL3MuonsIOHit"           "L2Seeded"        "HLT"     
vector<reco::TrackExtra>              "hltL3MuonsOIHit"           "L2Seeded"        "HLT"     
vector<reco::TrackExtra>              "hltL3MuonsOIState"         "L2Seeded"        "HLT"     
vector<reco::Vertex>                  "hltPixelVertices"          ""                "HLT"     
vector<reco::Vertex>                  "hltTrimmedPixelVertices"   ""                "HLT"     
vector<pair<csc::L1Track,MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi> > >    "csctfDigis"                ""                "HLT"     
vector<pair<csc::L1Track,MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi> > >    "simCsctfTrackDigis"        ""                "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
trigger::TriggerEventWithRefs         "hltTriggerSummaryRAW"      ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG20CaloIdVLClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG20CaloIdVLHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG20CaloIdVLIsoLEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG20CaloIdVLIsoLHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG20CaloIdVLIsoLTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG20EtFilter"           ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG27EtL1IsoEG22erFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEGL1SingleEG12Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEGL1SingleIsoEG22erFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP75ClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP75EcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP75GsfChi2Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP75GsfDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP75GsfDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP75GsfOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP75GsfTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP75HcEFilter"     ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP75HcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP75PixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltL1fL1sMu16orMu25L1Filtered0"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltL1sL1SingleEG10"        ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltL1sL1SingleIsoEG22er"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltL1sL1SingleJet200"      ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltL1sL1SingleMu16ORSingleMu25"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltL2fL1sMu16orMu25L1f0L2Filtered16Q"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltL3fL1sMu16orMu25L1f0L2f16QL3Filtered50Q"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltSingleCaloJet210"       ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltSingleCaloJet260"       ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltSinglePFJet260"         ""                "HLT"     
